GameID,DateTime_ET,Visitor,Visitor PTS,Home,Home PTS,Winner,Kalshi Odds (Visitor win),Kalshi Odds (Home win)
KXNBAGAME-25OCT29ORLDET-DET,2025-10-29 19:00:00,Orlando Magic,116,Detroit Pistons,135,Detroit Pistons,0.52,0.48
KXNBAGAME-25OCT29ATLBKN-BKN,2025-10-29 19:30:00,Atlanta Hawks,117,Brooklyn Nets,112,Atlanta Hawks,0.73,0.27
KXNBAGAME-25OCT29SACCHI-CHI,2025-10-29 20:00:00,Sacramento Kings,113,Chicago Bulls,126,Chicago Bulls,0.37,0.63
KXNBAGAME-25OCT29INDDAL-DAL,2025-10-29 20:30:00,Indiana Pacers,105,Dallas Mavericks,107,Dallas Mavericks,0.31000000000000005,0.69
KXNBAGAME-25OCT29PORUTA-UTA,2025-10-29 21:00:00,Portland Trail Blazers,136,Utah Jazz,134,Portland Trail Blazers,0.56,0.44
KXNBAGAME-25OCT29NOPDEN-DEN,2025-10-29 21:00:00,New Orleans Pelicans,88,Denver Nuggets,122,Denver Nuggets,0.14,0.86
KXNBAGAME-25OCT29LALMIN-MIN,2025-10-29 21:30:00,Los Angeles Lakers,116,Minnesota Timberwolves,115,Los Angeles Lakers,0.28,0.72
KXNBAGAME-25OCT29MEMPHX-PHX,2025-10-29 22:00:00,Memphis Grizzlies,114,Phoenix Suns,113,Memphis Grizzlies,0.55,0.45
KXNBAGAME-25OCT30ORLCHA-CHA,2025-10-30 19:00:00,Orlando Magic,123,Charlotte Hornets,107,Orlando Magic,0.5700000000000001,0.43
KXNBAGAME-25OCT30GSWMIL-MIL,2025-10-30 20:00:00,Golden State Warriors,110,Milwaukee Bucks,120,Milwaukee Bucks,0.72,0.28
KXNBAGAME-25OCT30WASOKC-OKC,2025-10-30 20:00:00,Washington Wizards,108,Oklahoma City Thunder,127,Oklahoma City Thunder,0.09999999999999998,0.9
KXNBAGAME-25OCT30MIASAS-SAS,2025-10-30 20:30:00,Miami Heat,101,San Antonio Spurs,107,San Antonio Spurs,0.31000000000000005,0.69
KXNBAGAME-25OCT31ATLIND-IND,2025-10-31 19:00:00,Atlanta Hawks,128,Indiana Pacers,108,Atlanta Hawks,0.54,0.46
KXNBAGAME-25OCT31BOSPHI-PHI,2025-10-31 19:00:00,Boston Celtics,109,Philadelphia 76ers,108,Boston Celtics,0.52,0.48
KXNBAGAME-25OCT31TORCLE-CLE,2025-10-31 19:30:00,Toronto Raptors,112,Cleveland Cavaliers,101,Toronto Raptors,0.36,0.64
KXNBAGAME-25OCT31NYKCHI-CHI,2025-10-31 20:00:00,New York Knicks,125,Chicago Bulls,135,Chicago Bulls,0.62,0.38
KXNBAGAME-25OCT31LALMEM-MEM,2025-10-31 21:30:00,Los Angeles Lakers,117,Memphis Grizzlies,112,Los Angeles Lakers,0.52,0.48
KXNBAGAME-25OCT31UTAPHX-PHX,2025-10-31 22:00:00,Utah Jazz,96,Phoenix Suns,118,Phoenix Suns,0.41000000000000003,0.59
KXNBAGAME-25OCT31DENPOR-POR,2025-10-31 22:00:00,Denver Nuggets,107,Portland Trail Blazers,109,Portland Trail Blazers,0.6599999999999999,0.34
KXNBAGAME-25OCT31NOPLAC-LAC,2025-10-31 22:30:00,New Orleans Pelicans,124,Los Angeles Clippers,126,Los Angeles Clippers,0.17000000000000004,0.83
KXNBAGAME-25NOV01SACMIL-MIL,2025-11-01 17:00:00,Sacramento Kings,135,Milwaukee Bucks,133,Sacramento Kings,0.31000000000000005,0.69
KXNBAGAME-25NOV01MINCHA-CHA,2025-11-01 18:00:00,Minnesota Timberwolves,122,Charlotte Hornets,105,Minnesota Timberwolves,0.61,0.39
KXNBAGAME-25NOV01GSWIND-IND,2025-11-01 19:00:00,Golden State Warriors,109,Indiana Pacers,114,Indiana Pacers,0.8,0.2
KXNBAGAME-25NOV01ORLWAS-WAS,2025-11-01 19:00:00,Orlando Magic,125,Washington Wizards,94,Orlando Magic,0.76,0.24
KXNBAGAME-25NOV01HOUBOS-BOS,2025-11-01 20:00:00,Houston Rockets,128,Boston Celtics,101,Houston Rockets,0.61,0.39
KXNBAGAME-25NOV01DALDET-DET,2025-11-01 22:00:00,Dallas Mavericks,110,Detroit Pistons,122,Detroit Pistons,0.28,0.72
KXNBAGAME-25NOV02NOPOKC-OKC,2025-11-02 15:30:00,New Orleans Pelicans,106,Oklahoma City Thunder,137,Oklahoma City Thunder,0.13,0.87
KXNBAGAME-25NOV02PHIBKN-BKN,2025-11-02 18:00:00,Philadelphia 76ers,129,Brooklyn Nets,105,Philadelphia 76ers,0.64,0.36
KXNBAGAME-25NOV02UTACHA-CHA,2025-11-02 18:00:00,Utah Jazz,103,Charlotte Hornets,126,Charlotte Hornets,0.51,0.49
KXNBAGAME-25NOV02ATLCLE-CLE,2025-11-02 18:00:00,Atlanta Hawks,109,Cleveland Cavaliers,117,Cleveland Cavaliers,0.31000000000000005,0.69
